beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
0,3,2025-02-19,1200 - 2000 sq.ft.,39,0,4230000.0,195,1600.0,0
0,3,2025-02-19,0 sq.ft.,39,0,7600000.0,178,0.0,0
2,3,2025-02-19,1163 - 1305 sq.ft.,9,0,6513000.0,116,1234.0,2
0,3,2025-02-19,801 - 1979 sq.ft.,39,0,2723000.0,59,1390.0,0
0,3,2025-02-19,497 - 3601 sq.ft.,39,0,4062000.0,49,2049.0,0
3,3,2025-02-19,1172 - 1386 sq.ft.,18,0,21200000.0,210,1279.0,3
3,3,2025-02-19,1723 sq.ft.,16,3,20700000.0,130,1723.0,6
0,3,2025-02-19,1680 sq.ft.,44,0,4800000.0,95,1680.0,0
0,17,2025-02-19,1089 sqft,44,0,5.15,24,1089.0,0
0,17,2025-02-19,1089 sqft,44,0,9.0,121,1089.0,0
1,16,2025-02-19,300 sqft,2,1,15.0,110,300.0,2
1,16,2025-02-19,400 sqft,1,1,15.0,8,400.0,2
1,16,2025-02-19,200 sqft,46,1,9.0,221,200.0,2
1,16,2025-02-19,180 sqft,2,1,15.0,146,180.0,2
1,16,2025-02-19,200 sqft,0,1,13.0,89,200.0,2
1,16,2025-02-19,100 sqft,1,1,13.0,5,100.0,2
1,16,2025-02-19,360 sqft,1,1,11.5,60,360.0,2
1,16,2025-02-19,340 sqft,2,1,12.0,61,340.0,2
3,20,2025-02-18,1510 sqft,43,3,16000000.0,39,1510.0,6
2,20,2025-01-19,1075 sqft,43,2,13000000.0,177,1075.0,4
3,20,2025-02-05,1150 sqft,43,2,9500000.0,204,1150.0,5
2,20,2025-01-19,710 sqft,43,2,8700000.0,48,710.0,4
3,20,2025-01-19,840 sqft,43,3,10000000.0,92,840.0,6
2,20,2025-02-13,690 sqft,43,2,6500000.0,134,690.0,4
6,20,2025-01-19,840 sqft,38,6,13500000.0,65,840.0,12
1,20,2025-02-17,640 sqft,43,1,3500000.0,68,640.0,2
3,20,2025-02-12,878 sqft,43,3,12000000.0,85,878.0,6
